ref	value	footprint
C1	0.33uF	c_0805
C2	0.1uF	c_0805
C3	0.1uF	c_0805
C4	39pF	c_0805
C5	39pF	c_0805
C6	10uF	c_0805
C7	0.1u	c_0805
C8	0.1u	c_0805
C9	0.1u	c_0805
C10	0.1u	c_0805
C11	C	c_0805
C12	1u	c_0805
C13	1u	c_0805
D1	3V3_ON	LED_J_LEAD
D2	1N4149	DO-35
F1	approx 300mA	SM0603
J1	RJ45_BASIC	RJ45
J2	MICRO_SD	SD_502702_003
JP1	LCD_V_SELECT	SOLDER_JUMPER_3
JP2	K_LINE	SOLDER_JUMPER
JP3	L_LINE	SOLDER_JUMPER
JP4	SCS	SOLDER_JUMPER
K1	UART	SIL-3
LCD1	LCD16X2	GDM1602K
LCD2	LCD_COG	NHD_C0216CZ_NSW_BBW
MP1	SCREW_4-40	1pin
MP2	SCREW_4-40	1pin
MP3	SCREW_4-40	1pin
MP4	SCREW_4-40	1pin
P1	JTAG_PROG	GRPB052VWQS-RC
P2	IO_1	SIL-4
P3	IO_2	SIL-6
R1	330R	R3
R2	R	R3
R3	60 Ohm	R3
R4	60 Ohm	R3
R5	4k7	R3
R6	10k	R3
R7	10k	R3
R8	10k	R3
R9	R_LCD_LED	R3
R10	R_CON1	R3
R11	R_CON2	R3
SW1	SW_OFF_MOM	FSM4JSMA_pushbutton
SW2	SW_OFF_MOM	FSM4JSMA_pushbutton
SW3	SW_OFF_MOM	FSM4JSMA_pushbutton
SW4	PWR_SW	MMS1208
U1	SP7805	TO-252-3
U2	LM335	TO92
U3	LD1117	DPAK
U4	LPC11C14	LQFP48
U5	MCP2561	SOIC-8-Narrow
W1	VBAT_T	SIL-2
W2	5V_T	SIL-2
W3	3V3_T	SIL-2
W4	12V_T	SIL-2
X1	20MHz	CSM-3X
